               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.023957,           0.0082729,            0.020906,             0.47603,             0.51942,             0.45335,             0.22825,            0.023171,           0.0068269,            0.026108,            0.009448,            0.009448,            0.009448
                  71,            0.022702,           0.0083476,            0.019926,             0.48618,             0.47208,             0.41841,             0.20107,            0.023193,           0.0065475,            0.035703,             0.00944,             0.00944,             0.00944
                  72,            0.023156,           0.0082999,            0.020481,             0.37428,             0.51723,             0.42112,             0.20794,             0.02179,           0.0066686,            0.028488,            0.009432,            0.009432,            0.009432
                  73,            0.023539,            0.008203,            0.020474,             0.47159,             0.47724,             0.49537,             0.26218,            0.021025,           0.0064874,            0.022646,            0.009424,            0.009424,            0.009424
                  74,            0.023114,           0.0081807,            0.020009,             0.51088,             0.55812,             0.49971,             0.26537,            0.021034,           0.0064626,            0.022839,            0.009416,            0.009416,            0.009416
                  75,            0.023231,           0.0084778,             0.02031,             0.36588,             0.49239,             0.38994,             0.16453,              0.0261,           0.0065999,            0.037924,            0.009408,            0.009408,            0.009408
                  76,             0.02378,           0.0079063,             0.01946,             0.50412,             0.50366,             0.49828,             0.24222,            0.023079,           0.0068474,            0.022133,              0.0094,              0.0094,              0.0094
                  77,            0.022839,           0.0085351,            0.019707,             0.54931,             0.47628,             0.50613,             0.26115,            0.020991,            0.006443,            0.021259,            0.009392,            0.009392,            0.009392
                  78,            0.023084,           0.0082441,            0.019307,             0.39827,             0.60951,              0.5051,             0.24188,             0.02292,           0.0067134,            0.025653,            0.009384,            0.009384,            0.009384
                  79,            0.023122,           0.0087913,            0.020204,             0.35015,             0.55221,             0.43141,             0.17456,            0.026789,            0.006681,            0.032843,            0.009376,            0.009376,            0.009376
                  80,            0.023259,           0.0080446,            0.019436,             0.45537,             0.50623,             0.48489,             0.25563,            0.020684,           0.0066848,            0.022516,            0.009368,            0.009368,            0.009368
                  81,            0.023008,           0.0086721,            0.019541,             0.50239,             0.56097,             0.53502,             0.28085,             0.02224,           0.0064144,            0.025034,             0.00936,             0.00936,             0.00936
                  82,            0.022999,            0.008399,            0.018373,              0.4846,             0.56227,             0.51764,             0.25639,            0.022208,           0.0063539,            0.024625,            0.009352,            0.009352,            0.009352
                  83,            0.023359,           0.0084811,              0.0191,             0.45632,             0.54681,             0.49041,             0.24263,            0.021863,           0.0064964,            0.027579,            0.009344,            0.009344,            0.009344
                  84,            0.022916,           0.0082662,            0.018494,             0.52321,             0.54061,              0.5277,             0.27023,            0.019947,           0.0067129,            0.021046,            0.009336,            0.009336,            0.009336
                  85,            0.022314,           0.0077915,            0.017887,             0.52515,             0.54823,              0.5274,             0.28576,            0.020667,             0.00632,            0.022653,            0.009328,            0.009328,            0.009328
                  86,            0.022612,           0.0086473,            0.018368,             0.54805,             0.53914,              0.5408,             0.27974,            0.020492,           0.0064459,            0.020786,             0.00932,             0.00932,             0.00932
                  87,             0.02266,           0.0080741,            0.017776,             0.50514,             0.59502,             0.56593,             0.30827,            0.019977,           0.0062895,            0.019281,            0.009312,            0.009312,            0.009312
                  88,            0.022554,           0.0081981,            0.017966,             0.46164,             0.56201,             0.49261,             0.24473,            0.021542,           0.0065293,            0.026071,            0.009304,            0.009304,            0.009304
                  89,             0.02221,           0.0078078,             0.01862,             0.45738,              0.4837,             0.42349,             0.20022,            0.023224,           0.0066786,             0.03306,            0.009296,            0.009296,            0.009296
                  90,            0.022769,           0.0086927,            0.018262,             0.47913,             0.49999,             0.46716,             0.22273,            0.023368,           0.0066032,            0.027087,            0.009288,            0.009288,            0.009288
                  91,            0.023143,           0.0083473,            0.018415,             0.44588,             0.57224,             0.51221,             0.25768,            0.022337,           0.0065494,            0.025351,             0.00928,             0.00928,             0.00928
                  92,            0.022029,           0.0083832,            0.017645,             0.50518,             0.53887,             0.54262,             0.28499,            0.021186,           0.0064507,            0.027362,            0.009272,            0.009272,            0.009272
                  93,            0.022335,           0.0080951,            0.018427,             0.61694,             0.51044,             0.56273,              0.2764,            0.021635,           0.0063314,            0.021039,            0.009264,            0.009264,            0.009264
                  94,            0.022399,           0.0083075,            0.016881,             0.46985,             0.51081,             0.50602,              0.2488,            0.023405,           0.0066519,            0.028717,            0.009256,            0.009256,            0.009256
                  95,            0.022087,           0.0082351,            0.016266,             0.60196,             0.48137,             0.53834,              0.2894,            0.020791,           0.0064921,            0.021231,            0.009248,            0.009248,            0.009248
                  96,             0.02247,           0.0081882,            0.017307,             0.31717,             0.48331,             0.35068,             0.14094,            0.027752,           0.0066385,            0.041476,             0.00924,             0.00924,             0.00924
                  97,             0.02144,           0.0082403,            0.016424,             0.62375,             0.46371,             0.51873,             0.26601,            0.021612,           0.0064731,            0.024214,            0.009232,            0.009232,            0.009232
                  98,            0.022143,           0.0077939,             0.01696,             0.56976,             0.56817,             0.56669,             0.30222,            0.020276,           0.0064707,             0.01936,            0.009224,            0.009224,            0.009224
                  99,            0.022407,           0.0079987,            0.017098,             0.66345,             0.49366,             0.57627,             0.30281,            0.020632,           0.0063472,            0.021194,            0.009216,            0.009216,            0.009216
                 100,            0.022153,           0.0080112,            0.017151,             0.58776,             0.55635,             0.58353,             0.31321,            0.020213,           0.0063281,            0.021223,            0.009208,            0.009208,            0.009208
                 101,            0.022215,           0.0081569,            0.016543,             0.45858,             0.54179,             0.49677,             0.26119,             0.02123,            0.006402,            0.031656,              0.0092,              0.0092,              0.0092
                 102,            0.022048,           0.0079421,            0.016384,             0.58819,             0.54812,             0.53536,             0.28809,            0.020194,           0.0064383,            0.022534,            0.009192,            0.009192,            0.009192
                 103,            0.022332,           0.0080543,            0.015513,             0.61458,             0.45705,             0.50887,             0.24621,            0.022227,           0.0066848,            0.025443,            0.009184,            0.009184,            0.009184
                 104,            0.021748,           0.0078215,            0.016465,             0.62216,             0.49479,             0.51118,             0.25412,            0.023724,           0.0066981,            0.029861,            0.009176,            0.009176,            0.009176
                 105,            0.022306,           0.0080137,            0.015362,             0.47723,             0.59498,             0.53172,             0.26147,            0.021742,           0.0062451,            0.023122,            0.009168,            0.009168,            0.009168
                 106,            0.022783,            0.008431,            0.014886,             0.45715,             0.57522,             0.47284,             0.22706,            0.022357,           0.0065489,            0.035748,             0.00916,             0.00916,             0.00916
                 107,            0.021681,           0.0081806,            0.015556,             0.53118,             0.44823,             0.46084,             0.22489,            0.022904,           0.0065675,             0.03049,            0.009152,            0.009152,            0.009152
                 108,            0.022251,            0.008301,            0.014492,             0.61419,             0.49799,             0.55428,             0.30798,            0.021153,            0.006217,            0.024338,            0.009144,            0.009144,            0.009144
                 109,            0.022134,           0.0081194,            0.014608,             0.62495,             0.50806,             0.56539,             0.29488,            0.021243,           0.0061927,            0.024741,            0.009136,            0.009136,            0.009136
                 110,            0.021444,           0.0080632,            0.014883,             0.53037,             0.63149,             0.60952,             0.32408,             0.01978,           0.0064158,            0.020744,            0.009128,            0.009128,            0.009128
                 111,             0.02196,           0.0080078,            0.015546,             0.47375,             0.50157,             0.47635,             0.22819,             0.02437,           0.0066304,            0.027271,             0.00912,             0.00912,             0.00912
                 112,            0.021963,           0.0075037,            0.014785,             0.58171,             0.54435,             0.57796,             0.29978,            0.020952,           0.0062528,            0.025983,            0.009112,            0.009112,            0.009112
                 113,            0.022008,           0.0080602,             0.01518,             0.50929,             0.54382,             0.50099,             0.26792,            0.020881,           0.0065699,            0.025362,            0.009104,            0.009104,            0.009104
                 114,            0.021485,            0.007907,            0.014439,             0.46006,              0.4434,             0.43808,             0.19703,            0.023917,           0.0066376,            0.035742,            0.009096,            0.009096,            0.009096
                 115,            0.021396,           0.0080637,            0.014363,             0.55833,             0.49332,             0.50887,             0.23566,            0.023299,            0.006341,            0.029233,            0.009088,            0.009088,            0.009088
