               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.037826,            0.032537,                   0,             0.91766,             0.83765,              0.8961,             0.33914,            0.027922,            0.010892,                   0,            0.009248,            0.009248,            0.009248
                  96,            0.037092,            0.031026,                   0,             0.90255,             0.80367,             0.86262,             0.30876,            0.029168,            0.011184,                   0,             0.00924,             0.00924,             0.00924
                  97,            0.037184,            0.031629,                   0,             0.91562,             0.81611,             0.88503,             0.33071,            0.028439,            0.010851,                   0,            0.009232,            0.009232,            0.009232
                  98,            0.037579,            0.032562,                   0,             0.92483,             0.84127,             0.90057,             0.34619,            0.027857,            0.010874,                   0,            0.009224,            0.009224,            0.009224
                  99,            0.037067,            0.031335,                   0,             0.91039,             0.83447,             0.88045,             0.31781,            0.028732,            0.010936,                   0,            0.009216,            0.009216,            0.009216
                 100,            0.037081,            0.031105,                   0,             0.91722,             0.83316,             0.88752,             0.32724,            0.028508,            0.010955,                   0,            0.009208,            0.009208,            0.009208
                 101,            0.037132,            0.031261,                   0,             0.91341,             0.82391,             0.88698,             0.33242,            0.028414,            0.011027,                   0,              0.0092,              0.0092,              0.0092
                 102,            0.037022,            0.031481,                   0,             0.91688,             0.84356,             0.89467,             0.33529,            0.028255,            0.010831,                   0,            0.009192,            0.009192,            0.009192
                 103,            0.037045,            0.032775,                   0,             0.90938,             0.81206,             0.87628,             0.32212,            0.028708,            0.011151,                   0,            0.009184,            0.009184,            0.009184
                 104,             0.03786,            0.032624,                   0,             0.90097,             0.80917,             0.86948,             0.31511,            0.028916,              0.0111,                   0,            0.009176,            0.009176,            0.009176
                 105,            0.036546,            0.031791,                   0,             0.91821,             0.82984,             0.89456,             0.33817,            0.028213,            0.011003,                   0,            0.009168,            0.009168,            0.009168
                 106,            0.037232,            0.031876,                   0,             0.89891,             0.79615,             0.85755,             0.30886,            0.029186,            0.011034,                   0,             0.00916,             0.00916,             0.00916
                 107,            0.036985,            0.031472,                   0,             0.91586,             0.84704,             0.89547,              0.3333,            0.028241,            0.010845,                   0,            0.009152,            0.009152,            0.009152
                 108,            0.037494,            0.032838,                   0,             0.91503,             0.82821,             0.88705,             0.33293,            0.028359,            0.010972,                   0,            0.009144,            0.009144,            0.009144
                 109,            0.037246,            0.031678,                   0,             0.91147,             0.82458,             0.88038,             0.32499,            0.028618,            0.010861,                   0,            0.009136,            0.009136,            0.009136
                 110,            0.037381,            0.031588,                   0,             0.91557,             0.83967,             0.88642,             0.32992,            0.028439,            0.010706,                   0,            0.009128,            0.009128,            0.009128
                 111,            0.036617,            0.030599,                   0,             0.91651,             0.83129,             0.89094,             0.33378,            0.028274,            0.010906,                   0,             0.00912,             0.00912,             0.00912
                 112,            0.036828,            0.031316,                   0,             0.91369,             0.79413,             0.86728,             0.31617,            0.028935,            0.011592,                   0,            0.009112,            0.009112,            0.009112
                 113,            0.036889,            0.032037,                   0,             0.92493,             0.84075,             0.89899,             0.33965,            0.028069,            0.010845,                   0,            0.009104,            0.009104,            0.009104
                 114,            0.036576,            0.031108,                   0,             0.91965,             0.82565,             0.88769,             0.33182,            0.028355,            0.011105,                   0,            0.009096,            0.009096,            0.009096
                 115,             0.03732,            0.032026,                   0,             0.91317,             0.82897,             0.88597,             0.32824,            0.028494,            0.010911,                   0,            0.009088,            0.009088,            0.009088
                 116,            0.036891,            0.031884,                   0,              0.8951,             0.77563,             0.83754,             0.29819,            0.029579,             0.01158,                   0,             0.00908,             0.00908,             0.00908
                 117,            0.036724,            0.032344,                   0,             0.92323,             0.83316,             0.89499,             0.33507,            0.028189,            0.010939,                   0,            0.009072,            0.009072,            0.009072
                 118,            0.037041,            0.030868,                   0,             0.91933,             0.81943,              0.8888,             0.33227,            0.028312,            0.011086,                   0,            0.009064,            0.009064,            0.009064
                 119,             0.03677,            0.031655,                   0,              0.9225,             0.82854,             0.89264,             0.33589,            0.028246,            0.011037,                   0,            0.009056,            0.009056,            0.009056
                 120,            0.036721,            0.032079,                   0,              0.9053,             0.82508,             0.87345,              0.3141,            0.028871,            0.010905,                   0,            0.009048,            0.009048,            0.009048
                 121,            0.036576,            0.030349,                   0,              0.9145,             0.81076,             0.87639,             0.32403,            0.028594,            0.011284,                   0,             0.00904,             0.00904,             0.00904
                 122,            0.036756,            0.031285,                   0,             0.90467,             0.79312,             0.85522,             0.30912,            0.029228,            0.011365,                   0,            0.009032,            0.009032,            0.009032
                 123,            0.037243,            0.032268,                   0,             0.92011,             0.82425,             0.88949,             0.33124,            0.028317,            0.011027,                   0,            0.009024,            0.009024,            0.009024
                 124,            0.036686,            0.031937,                   0,             0.91507,             0.85207,             0.89952,             0.33927,            0.028172,            0.010685,                   0,            0.009016,            0.009016,            0.009016
                 125,            0.036306,            0.031069,                   0,             0.91233,             0.82435,             0.87942,             0.32666,            0.028491,            0.010894,                   0,            0.009008,            0.009008,            0.009008
                 126,            0.037111,             0.03217,                   0,             0.91771,             0.79485,             0.87051,              0.3232,            0.028557,            0.011366,                   0,               0.009,               0.009,               0.009
                 127,            0.036727,            0.030699,                   0,             0.91792,             0.82294,             0.88915,             0.33721,            0.028144,            0.011105,                   0,            0.008992,            0.008992,            0.008992
                 128,            0.036577,            0.031763,                   0,             0.91042,             0.82073,             0.87584,             0.32228,            0.028699,            0.011001,                   0,            0.008984,            0.008984,            0.008984
                 129,            0.036807,            0.031663,                   0,             0.90954,              0.8024,              0.8689,             0.32343,             0.02867,            0.011299,                   0,            0.008976,            0.008976,            0.008976
                 130,            0.036501,            0.030927,                   0,             0.91291,             0.83809,              0.8885,             0.33182,            0.028301,            0.010872,                   0,            0.008968,            0.008968,            0.008968
                 131,            0.036768,            0.031664,                   0,             0.91773,             0.84024,             0.89117,             0.32849,            0.028417,            0.010921,                   0,             0.00896,             0.00896,             0.00896
                 132,            0.037137,            0.031265,                   0,             0.91816,             0.81784,             0.88316,             0.32652,            0.028551,            0.011086,                   0,            0.008952,            0.008952,            0.008952
                 133,            0.036933,            0.031947,                   0,             0.91837,             0.80541,             0.87493,              0.3227,             0.02867,            0.011489,                   0,            0.008944,            0.008944,            0.008944
                 134,            0.036574,            0.031451,                   0,             0.92391,             0.81627,             0.88573,             0.33223,            0.028319,            0.011287,                   0,            0.008936,            0.008936,            0.008936
                 135,            0.036232,            0.031037,                   0,              0.9237,             0.84285,             0.89881,             0.34249,            0.027942,            0.010824,                   0,            0.008928,            0.008928,            0.008928
                 136,            0.037085,            0.030933,                   0,             0.92828,             0.85136,             0.90495,             0.34457,            0.027931,            0.010707,                   0,             0.00892,             0.00892,             0.00892
                 137,            0.036382,            0.031207,                   0,             0.92287,             0.84777,             0.89867,             0.34189,            0.028069,            0.010788,                   0,            0.008912,            0.008912,            0.008912
                 138,            0.036738,             0.03127,                   0,             0.92683,             0.83866,             0.89962,             0.34107,            0.028073,            0.010931,                   0,            0.008904,            0.008904,            0.008904
                 139,            0.036641,             0.03125,                   0,             0.92573,             0.84343,              0.9024,             0.34233,            0.027974,             0.01091,                   0,            0.008896,            0.008896,            0.008896
                 140,            0.036355,            0.030692,                   0,             0.92203,             0.83256,             0.89668,             0.34396,            0.027978,            0.010892,                   0,            0.008888,            0.008888,            0.008888
                 141,            0.036734,            0.031354,                   0,             0.91689,             0.82594,             0.88173,             0.32644,            0.028535,            0.011002,                   0,             0.00888,             0.00888,             0.00888
                 142,            0.036839,            0.031486,                   0,             0.91454,             0.82015,             0.87728,             0.32439,            0.028739,            0.011062,                   0,            0.008872,            0.008872,            0.008872
                 143,            0.036637,            0.030716,                   0,             0.91947,             0.82537,             0.88639,             0.32618,            0.028654,            0.011036,                   0,            0.008864,            0.008864,            0.008864
                 144,            0.036756,            0.031648,                   0,             0.92155,             0.83071,             0.89127,             0.33162,            0.028507,            0.011082,                   0,            0.008856,            0.008856,            0.008856
                 145,            0.036372,            0.029693,                   0,             0.92517,             0.83981,             0.89567,             0.33985,            0.028244,            0.010821,                   0,            0.008848,            0.008848,            0.008848
                 146,            0.036857,            0.031366,                   0,             0.91712,             0.83193,              0.8897,             0.33548,            0.028373,            0.010986,                   0,             0.00884,             0.00884,             0.00884
                 147,            0.036488,            0.031119,                   0,             0.92756,             0.85225,             0.90596,             0.34808,            0.027958,            0.010747,                   0,            0.008832,            0.008832,            0.008832
                 148,            0.036409,            0.031103,                   0,             0.92657,             0.83736,              0.8963,             0.33912,            0.028125,             0.01096,                   0,            0.008824,            0.008824,            0.008824
                 149,            0.036386,            0.031085,                   0,             0.91792,             0.82943,             0.88828,                0.33,            0.028603,            0.010909,                   0,            0.008816,            0.008816,            0.008816
                 150,            0.036622,            0.031102,                   0,             0.90344,             0.80512,             0.86094,             0.30653,            0.029262,            0.011143,                   0,            0.008808,            0.008808,            0.008808
                 151,            0.036597,            0.031266,                   0,             0.92673,             0.83403,             0.89294,             0.33395,            0.028294,            0.011007,                   0,              0.0088,              0.0088,              0.0088
                 152,            0.036358,            0.031569,                   0,             0.91986,             0.84297,              0.8961,             0.33709,             0.02816,            0.010838,                   0,            0.008792,            0.008792,            0.008792
                 153,            0.036465,             0.03057,                   0,             0.92604,             0.83454,             0.89864,             0.34075,            0.028014,            0.011001,                   0,            0.008784,            0.008784,            0.008784
                 154,            0.036063,            0.030254,                   0,             0.91818,              0.8375,             0.88799,             0.32618,            0.028431,            0.010892,                   0,            0.008776,            0.008776,            0.008776
                 155,            0.036368,            0.030994,                   0,             0.91672,             0.83056,             0.88752,             0.32743,            0.028491,            0.010987,                   0,            0.008768,            0.008768,            0.008768
                 156,            0.036321,            0.030933,                   0,              0.9239,             0.85479,             0.90348,             0.34591,            0.027876,            0.010789,                   0,             0.00876,             0.00876,             0.00876
                 157,            0.036561,            0.031261,                   0,             0.92228,             0.83027,             0.89278,             0.33556,            0.028252,            0.010983,                   0,            0.008752,            0.008752,            0.008752
                 158,             0.03612,            0.030386,                   0,             0.91722,              0.8268,             0.88655,             0.32827,            0.028577,            0.011061,                   0,            0.008744,            0.008744,            0.008744
                 159,             0.03632,            0.030383,                   0,             0.91757,              0.8255,             0.88543,             0.32676,            0.028485,            0.011084,                   0,            0.008736,            0.008736,            0.008736
                 160,            0.036224,            0.030002,                   0,             0.92004,             0.84675,             0.89257,             0.33139,            0.028329,            0.010799,                   0,            0.008728,            0.008728,            0.008728
                 161,            0.036698,            0.031699,                   0,             0.92155,             0.83889,              0.8942,             0.33407,            0.028296,            0.010895,                   0,             0.00872,             0.00872,             0.00872
                 162,            0.036534,            0.031245,                   0,             0.92437,             0.84675,             0.89744,             0.34391,            0.027992,            0.010792,                   0,            0.008712,            0.008712,            0.008712
                 163,             0.03626,            0.030537,                   0,             0.92591,             0.84791,             0.89876,             0.34073,            0.028061,            0.010755,                   0,            0.008704,            0.008704,            0.008704
                 164,            0.036288,             0.03093,                   0,             0.92401,             0.84993,             0.90076,             0.34066,            0.028072,            0.010784,                   0,            0.008696,            0.008696,            0.008696
                 165,            0.036738,             0.03071,                   0,             0.92265,             0.82102,             0.88574,             0.33226,            0.028344,            0.011125,                   0,            0.008688,            0.008688,            0.008688
                 166,            0.036528,            0.030879,                   0,             0.92132,             0.83129,             0.89416,             0.33879,            0.028059,            0.010969,                   0,             0.00868,             0.00868,             0.00868
                 167,            0.036359,            0.029867,                   0,             0.91805,             0.83079,             0.88842,              0.3324,            0.028365,            0.010985,                   0,            0.008672,            0.008672,            0.008672
                 168,            0.036398,            0.030872,                   0,             0.91757,             0.82145,             0.88165,              0.3227,            0.028663,            0.011049,                   0,            0.008664,            0.008664,            0.008664
                 169,            0.036215,            0.031608,                   0,             0.92451,             0.85066,             0.90036,             0.34039,            0.028073,            0.010788,                   0,            0.008656,            0.008656,            0.008656
                 170,            0.036343,            0.031006,                   0,             0.91858,             0.83831,              0.8876,             0.33099,             0.02846,            0.010965,                   0,            0.008648,            0.008648,            0.008648
                 171,            0.036344,            0.030862,                   0,             0.91588,             0.81582,             0.87935,             0.32622,            0.028676,            0.011244,                   0,             0.00864,             0.00864,             0.00864
                 172,            0.036098,            0.031063,                   0,             0.92547,             0.85096,             0.90388,             0.34711,            0.027841,            0.010878,                   0,            0.008632,            0.008632,            0.008632
